Ensembl,Transcript,Gene,Chromosome,TSS_start,Base,TSS_end,Strand
ENSG00000173662,ENST00000333172,TAS1R1,chr1,6614741,6615241,6615741,+
ENSG00000204859,ENST00000377674,ZBTB48,chr1,6639608,6640108,6640608,+
ENSG00000162413,ENST00000377658,KLHL21,chr1,6662430,6662930,6663430,-
ENSG00000116273,ENST00000377648,PHF13,chr1,6673245,6673745,6674245,+
ENSG00000041988,ENST00000377627,THAP3,chr1,6684752,6685252,6685752,+
ENSG00000007923,ENST00000377577,DNAJC11,chr1,6761485,6761985,6762485,-
ENSG00000171735,ENST00000303635,CAMTA1,chr1,6844884,6845384,6845884,+
ENSG00000049245,ENST00000054666,VAMP3,chr1,7830829,7831329,7831829,+
ENSG00000049246,ENST00000361923,PER3,chr1,7844263,7844763,7845263,+
ENSG00000049247,ENST00000054668,UTS2,chr1,7912992,7913492,7913992,-
ENSG00000049249,ENST00000615230,TNFRSF9,chr1,8002726,8003226,8003726,-
ENSG00000116288,ENST00000493678,PARK7,chr1,8021252,8021752,8022252,+
ENSG00000116285,ENST00000377482,ERRFI1,chr1,8085869,8086369,8086869,-
ENSG00000162426,ENST00000289877,SLC45A1,chr1,8383890,8384390,8384890,+
ENSG00000142599,ENST00000337907,RERE,chr1,8877025,8877525,8878025,-
ENSG00000074800,ENST00000234590,ENO1,chr1,8938250,8938750,8939250,-
ENSG00000131686,ENST00000377443,CA6,chr1,9005442,9005942,9006442,+
ENSG00000197241,ENST00000400906,SLC2A7,chr1,9085905,9086405,9086905,-
ENSG00000142583,ENST00000377424,SLC2A5,chr1,9129276,9129776,9130276,-
ENSG00000180758,ENST00000377411,GPR157,chr1,9188730,9189230,9189730,-
ENSG00000049239,ENST00000377403,H6PD,chr1,9294334,9294834,9295334,+
ENSG00000171621,ENST00000328089,SPSB1,chr1,9352439,9352939,9353439,+
ENSG00000171612,ENST00000302692,SLC25A33,chr1,9599041,9599541,9600041,+
ENSG00000188807,ENST00000340381,TMEM201,chr1,9648480,9648980,9649480,+
ENSG00000171608,ENST00000377346,PIK3CD,chr1,9711303,9711803,9712303,+
ENSG00000171603,ENST00000361311,CLSTN1,chr1,9883543,9884043,9884543,-
ENSG00000178585,ENST00000377263,CTNNBIP1,chr1,9969822,9970322,9970822,-
ENSG00000162441,ENST00000377223,LZIC,chr1,10002888,10003388,10003888,-
ENSG00000173614,ENST00000377205,NMNAT1,chr1,10002986,10003486,10003986,+
ENSG00000162444,ENST00000294435,RBP7,chr1,10056774,10057274,10057774,+
ENSG00000130939,ENST00000253251,UBE4B,chr1,10092390,10092890,10093390,+
ENSG00000054523,ENST00000263934,KIF1B,chr1,10270363,10270863,10271363,+
ENSG00000142657,ENST00000270776,PGD,chr1,10458637,10459137,10459637,+
ENSG00000251503,ENST00000400900,APITD1-CORT,chr1,10489659,10490159,10490659,+
ENSG00000175279,ENST00000309048,APITD1,chr1,10490000,10490500,10491000,+
ENSG00000241563,ENST00000377049,CORT,chr1,10509276,10509776,10510276,+
ENSG00000160049,ENST00000377038,DFFA,chr1,10532084,10532584,10533084,-
ENSG00000142655,ENST00000356607,PEX14,chr1,10534444,10534944,10535444,+
ENSG00000130940,ENST00000377022,CASZ1,chr1,10856206,10856706,10857206,-
ENSG00000175262,ENST00000377004,C1orf127,chr1,11041595,11042095,11042595,-
ENSG00000120948,ENST00000240185,TARDBP,chr1,11071957,11072457,11072957,+
ENSG00000277726,ENST00000614757,RP4-635E18.9,chr1,11072219,11072719,11073219,+
ENSG00000009724,ENST00000400897,MASP2,chr1,11106781,11107281,11107781,-
ENSG00000116649,ENST00000376957,SRM,chr1,11119582,11120082,11120582,-
ENSG00000171824,ENST00000304457,EXOSC10,chr1,11159427,11159927,11160427,-
ENSG00000171819,ENST00000376819,ANGPTL7,chr1,11248898,11249398,11249898,+
ENSG00000198793,ENST00000361445,MTOR,chr1,11322065,11322565,11323065,-
ENSG00000120942,ENST00000376810,UBIAD1,chr1,11332763,11333263,11333763,+
ENSG00000204624,ENST00000294484,DISP3,chr1,11538795,11539295,11539795,+
ENSG00000116661,ENST00000354287,FBXO2,chr1,11714240,11714740,11715240,-
ENSG00000132879,ENST00000376770,FBXO44,chr1,11714414,11714914,11715414,+
ENSG00000116663,ENST00000376753,FBXO6,chr1,11723681,11724181,11724681,+
ENSG00000116670,ENST00000235310,MAD2L2,chr1,11751208,11751708,11752208,-
ENSG00000162490,ENST00000294485,DRAXIN,chr1,11751286,11751786,11752286,+
ENSG00000177674,ENST00000314340,AGTRAP,chr1,11795712,11796212,11796712,+
ENSG00000215910,ENST00000433342,C1orf167,chr1,11821344,11821844,11822344,+
ENSG00000177000,ENST00000376592,MTHFR,chr1,11862803,11863303,11863803,-
ENSG00000011021,ENST00000346436,CLCN6,chr1,11865768,11866268,11866768,+
ENSG00000175206,ENST00000376480,NPPA,chr1,11907341,11907841,11908341,-
ENSG00000120937,ENST00000376468,NPPB,chr1,11918489,11918989,11919489,-
ENSG00000116685,ENST00000376572,KIAA2013,chr1,11985981,11986481,11986981,-
ENSG00000083444,ENST00000196061,PLOD1,chr1,11994310,11994810,11995310,+
ENSG00000116688,ENST00000235329,MFN2,chr1,12039869,12040369,12040869,+
ENSG00000116691,ENST00000235332,MIIP,chr1,12079023,12079523,12080023,+
ENSG00000120949,ENST00000263932,TNFRSF8,chr1,12122934,12123434,12123934,+
ENSG00000028137,ENST00000376259,TNFRSF1B,chr1,12226560,12227060,12227560,+
ENSG00000048707,ENST00000620676,VPS13D,chr1,12289624,12290124,12290624,+
ENSG00000162496,ENST00000616661,DHRS3,chr1,12677238,12677738,12678238,-
ENSG00000204518,ENST00000376221,AADACL4,chr1,12704066,12704566,12705066,+
ENSG00000188984,ENST00000359318,AADACL3,chr1,12775646,12776146,12776646,+
ENSG00000157330,ENST00000614859,C1orf158,chr1,12805663,12806163,12806663,+
ENSG00000116726,ENST00000357726,PRAMEF12,chr1,12834484,12834984,12835484,+
ENSG00000116721,ENST00000332296,PRAMEF1,chr1,12851046,12851546,12852046,+
ENSG00000204513,ENST00000535591,PRAMEF11,chr1,12890765,12891265,12891765,-
ENSG00000179172,ENST00000317869,HNRNPCL1,chr1,12908079,12908579,12909079,-
ENSG00000120952,ENST00000240189,PRAMEF2,chr1,12916441,12916941,12917441,+
ENSG00000243073,ENST00000235349,PRAMEF4,chr1,12945526,12946026,12946526,-
ENSG00000187545,ENST00000235347,PRAMEF10,chr1,12957602,12958102,12958602,-
ENSG00000204510,ENST00000616979,PRAMEF7,chr1,12975930,12976430,12976930,+
ENSG00000232423,ENST00000415464,PRAMEF6,chr1,13004747,13005247,13005747,-
ENSG00000204508,ENST00000376187,PRAMEF22,chr1,13035043,13035543,13036043,+
ENSG00000239810,ENST00000436041,WI2-3308P17.2,chr1,13052499,13052999,13053499,-
ENSG00000179412,ENST00000323770,HNRNPCL4,chr1,13183373,13183873,13184373,-
ENSG00000275774,ENST00000621994,HNRNPCL2,chr1,13183827,13184327,13184827,-
ENSG00000229571,ENST00000423177,PRAMEF26,chr1,13219082,13219582,13220082,-
ENSG00000204502,ENST00000376168,PRAMEF5,chr1,13359319,13359819,13360319,+
ENSG00000182330,ENST00000357367,PRAMEF8,chr1,13390266,13390766,13391266,-
ENSG00000204501,ENST00000376152,PRAMEF9,chr1,13420676,13421176,13421676,+
ENSG00000204491,ENST00000376126,PRAMEF18,chr1,13477023,13477523,13478023,-
ENSG00000204488,ENST00000376121,PRAMEF16,chr1,13494754,13495254,13495754,+
ENSG00000204486,ENST00000332192,PRAMEF21,chr1,13515566,13516066,13516566,+
ENSG00000157358,ENST00000330087,PRAMEF15,chr1,13641473,13641973,13642473,+
ENSG00000204481,ENST00000334600,PRAMEF14,chr1,13673012,13673512,13674012,-
ENSG00000204480,ENST00000376101,PRAMEF19,chr1,13697652,13698152,13698652,-
ENSG00000204479,ENST00000376098,PRAMEF17,chr1,13715592,13716092,13716592,+
ENSG00000204478,ENST00000316412,PRAMEF20,chr1,13736407,13736907,13737407,+
ENSG00000162494,ENST00000376085,LRRC38,chr1,13840044,13840544,13841044,-
ENSG00000162493,ENST00000294489,PDPN,chr1,13909460,13909960,13910460,+
ENSG00000116731,ENST00000235372,PRDM2,chr1,14030850,14031350,14031850,+
ENSG00000189337,ENST00000376030,KAZN,chr1,14924700,14925200,14925700,+
ENSG00000171729,ENST00000428417,TMEM51,chr1,15478528,15479028,15479528,+
ENSG00000142621,ENST00000358897,FHAD1,chr1,15573268,15573768,15574268,+
ENSG00000142634,ENST00000375980,EFHD2,chr1,15735891,15736391,15736891,+
ENSG00000162438,ENST00000375949,CTRC,chr1,15764435,15764935,15765435,+
ENSG00000142615,ENST00000359621,CELA2A,chr1,15782724,15783224,15783724,+
ENSG00000215704,ENST00000375910,CELA2B,chr1,15802096,15802596,15803096,+
ENSG00000132906,ENST00000333868,CASP9,chr1,15850291,15850791,15851291,-
ENSG00000116138,ENST00000375847,DNAJC16,chr1,15852808,15853308,15853808,+
ENSG00000116771,ENST00000375826,AGMAT,chr1,15911106,15911606,15912106,-
ENSG00000197312,ENST00000480945,DDI2,chr1,15943495,15943995,15944495,+
ENSG00000215695,ENST00000345034,RSC1A1,chr1,15985864,15986364,15986864,+
ENSG00000116786,ENST00000375799,PLEKHM2,chr1,16010327,16010827,16011327,+
ENSG00000162461,ENST00000294454,SLC25A34,chr1,16062400,16062900,16063400,+
ENSG00000162460,ENST00000375782,TMEM82,chr1,16068417,16068917,16069417,+
ENSG00000162458,ENST00000375766,FBLIM1,chr1,16084414,16084914,16085414,+
ENSG00000233954,ENST00000483273,UQCRHL,chr1,16135344,16135844,16136344,-
ENSG00000065526,ENST00000375759,SPEN,chr1,16173859,16174359,16174859,+
ENSG00000116809,ENST00000375743,ZBTB17,chr1,16302122,16302622,16303122,-
ENSG00000183888,ENST00000329454,C1orf64,chr1,16330231,16330731,16331231,+
ENSG00000173641,ENST00000311890,HSPB7,chr1,16344786,16345286,16345786,-
ENSG00000186510,ENST00000331433,CLCNKA,chr1,16348047,16348547,16349047,+
ENSG00000184908,ENST00000375679,CLCNKB,chr1,16369772,16370272,16370772,+
ENSG00000185519,ENST00000375662,FAM131C,chr1,16399622,16400122,16400622,-
ENSG00000142627,ENST00000358432,EPHA2,chr1,16482083,16482583,16483083,-
ENSG00000142632,ENST00000270747,ARHGEF19,chr1,16538605,16539105,16539605,-
ENSG00000204377,ENST00000375605,C1orf134,chr1,16555539,16556039,16556539,-
ENSG00000132881,ENST00000375599,RSG1,chr1,16563158,16563658,16564158,-
ENSG00000037637,ENST00000375592,FBXO42,chr1,16678450,16678950,16679450,-
ENSG00000055070,ENST00000401088,SZRD1,chr1,16693078,16693578,16694078,+
ENSG00000187144,ENST00000335496,SPATA21,chr1,16763420,16763920,16764420,-
ENSG00000157191,ENST00000337132,NECAP2,chr1,16766667,16767167,16767667,+
ENSG00000268674,ENST00000601199,AL355149.2,chr1,16865061,16865561,16866061,+
ENSG00000219481,ENST00000430580,NBPF1,chr1,16939483,16939983,16940483,-
ENSG00000237847,ENST00000434336,FAM231A,chr1,16998998,16999498,16999998,+
ENSG00000268991,ENST00000600179,AL021920.2,chr1,17060457,17060957,17061457,-
ENSG00000279132,ENST00000624031,FAM231C,chr1,17060457,17060957,17061457,-
ENSG00000058453,ENST00000375541,CROCC,chr1,17247945,17248445,17248945,+
ENSG00000117122,ENST00000375535,MFAP2,chr1,17306831,17307331,17307831,-
ENSG00000159363,ENST00000326735,ATP13A2,chr1,17337768,17338268,17338768,-
ENSG00000117118,ENST00000375499,SDHB,chr1,17380166,17380666,17381166,-
ENSG00000117115,ENST00000375486,PADI2,chr1,17445431,17445931,17446431,-
ENSG00000142623,ENST00000375471,PADI1,chr1,17531121,17531621,17532121,+
ENSG00000142619,ENST00000375460,PADI3,chr1,17575093,17575593,17576093,+
ENSG00000159339,ENST00000375448,PADI4,chr1,17634192,17634692,17635192,+
ENSG00000269468,ENST00000602074,AC004824.2,chr1,17675571,17676071,17676571,-
ENSG00000276747,ENST00000619609,PADI6,chr1,17698191,17698691,17699191,+
ENSG00000179051,ENST00000375436,RCC2,chr1,17765721,17766221,17766721,-
ENSG00000074964,ENST00000361221,ARHGEF10L,chr1,17865830,17866330,17866830,+
ENSG00000117148,ENST00000375406,ACTL8,chr1,18081308,18081808,18082308,+
ENSG00000117154,ENST00000251296,IGSF21,chr1,18433740,18434240,18434740,+
ENSG00000179023,ENST00000400664,KLHDC7A,chr1,18806976,18807476,18807976,+
ENSG00000009709,ENST00000420770,PAX7,chr1,18957515,18958015,18958515,+
ENSG00000179002,ENST00000375371,TAS1R2,chr1,19185677,19186177,19186677,-
ENSG00000159423,ENST00000375341,ALDH4A1,chr1,19228776,19229276,19229776,-
ENSG00000255275,ENST00000494072,RP13-279N23.2,chr1,19247116,19247616,19248116,-
ENSG00000169991,ENST00000455833,IFFO2,chr1,19282681,19283181,19283681,-
ENSG00000127481,ENST00000375254,UBR4,chr1,19536271,19536771,19537271,-
ENSG00000053372,ENST00000330263,MRTO4,chr1,19577533,19578033,19578533,+
ENSG00000127463,ENST00000477853,EMC1,chr1,19577547,19578047,19578547,-
ENSG00000162482,ENST00000361640,AKR7A3,chr1,19615245,19615745,19616245,-
ENSG00000053371,ENST00000235835,AKR7A2,chr1,19638141,19638641,19639141,-
ENSG00000040487,ENST00000375153,PQLC2,chr1,19638322,19638822,19639322,+
ENSG00000077549,ENST00000264202,CAPZB,chr1,19811472,19811972,19812472,-
ENSG00000270136,ENST00000602662,MINOS1-NBL1,chr1,19922973,19923473,19923973,+
ENSG00000173436,ENST00000322753,MINOS1,chr1,19922984,19923484,19923984,+
ENSG00000158747,ENST00000375136,NBL1,chr1,19970157,19970657,19971157,+
ENSG00000158748,ENST00000289753,HTR6,chr1,19991280,19991780,19992280,+
ENSG00000162542,ENST00000294543,TMCO4,chr1,20125911,20126411,20126911,-
ENSG00000178828,ENST00000375121,RNF186,chr1,20141272,20141772,20142272,-
ENSG00000169914,ENST00000375120,OTUD3,chr1,20208506,20209006,20209506,+
ENSG00000188784,ENST00000375116,PLA2G2E,chr1,20249611,20250111,20250611,-
ENSG00000188257,ENST00000400520,PLA2G2A,chr1,20305737,20306237,20306737,-
ENSG00000127472,ENST00000375108,PLA2G5,chr1,20396201,20396701,20397201,+
ENSG00000117215,ENST00000375105,PLA2G2D,chr1,20445551,20446051,20446551,-
ENSG00000158786,ENST00000375102,PLA2G2F,chr1,20465319,20465819,20466319,+
ENSG00000187980,ENST00000247992,PLA2G2C,chr1,20501188,20501688,20502188,-
ENSG00000162543,ENST00000375099,UBXN10,chr1,20512078,20512578,20513078,+
ENSG00000158816,ENST00000375079,VWA5B1,chr1,20616912,20617412,20617912,+
ENSG00000162545,ENST00000375078,CAMK2N1,chr1,20812214,20812714,20813214,-
ENSG00000090432,ENST00000264198,MUL1,chr1,20834155,20834655,20835155,-
ENSG00000183114,ENST00000332947,FAM43B,chr1,20878432,20878932,20879432,+
ENSG00000158825,ENST00000375071,CDA,chr1,20914941,20915441,20915941,+
ENSG00000158828,ENST00000321556,PINK1,chr1,20959448,20959948,20960448,+
ENSG00000244038,ENST00000415136,DDOST,chr1,20987538,20988038,20988538,-
ENSG00000117245,ENST00000247986,KIF17,chr1,21044011,21044511,21045011,-
ENSG00000189410,ENST00000444387,SH2D5,chr1,21058530,21059030,21059530,-
ENSG00000127483,ENST00000312239,HP1BP3,chr1,21112682,21113182,21113682,-
ENSG00000075151,ENST00000264211,EIF4G3,chr1,21376988,21377488,21377988,-
ENSG00000117298,ENST00000374893,ECE1,chr1,21616483,21616983,21617483,-
ENSG00000142794,ENST00000318249,NBPF3,chr1,21766306,21766806,21767306,+
ENSG00000162551,ENST00000374840,ALPL,chr1,21835365,21835865,21836365,+
ENSG00000076864,ENST00000374765,RAP1GAP,chr1,21995300,21995800,21996300,-
ENSG00000090686,ENST00000308271,USP48,chr1,22109600,22110100,22110600,-
ENSG00000187942,ENST00000344642,LDLRAD2,chr1,22138258,22138758,22139258,+
ENSG00000142798,ENST00000374695,HSPG2,chr1,22263291,22263791,22264291,-
ENSG00000219073,ENST00000337107,CELA3B,chr1,22303014,22303514,22304014,+
ENSG00000142789,ENST00000290122,CELA3A,chr1,22327649,22328149,22328649,+
ENSG00000070831,ENST00000315554,CDC42,chr1,22378682,22379182,22379682,+
ENSG00000162552,ENST00000290167,WNT4,chr1,22468960,22469460,22469960,-
ENSG00000184677,ENST00000404138,ZBTB40,chr1,22777844,22778344,22778844,+
ENSG00000070886,ENST00000166244,EPHA8,chr1,22889557,22890057,22890557,+
ENSG00000173372,ENST00000374642,C1QA,chr1,22962499,22962999,22963499,+
ENSG00000159189,ENST00000374639,C1QC,chr1,22969626,22970126,22970626,+
ENSG00000173369,ENST00000314933,C1QB,chr1,22979182,22979682,22980182,+
ENSG00000133216,ENST00000374632,EPHB2,chr1,23036963,23037463,23037963,+
ENSG00000215906,ENST00000426928,LACTBL1,chr1,23291332,23291832,23292332,-
ENSG00000227868,ENST00000566855,C1orf234,chr1,23341844,23342344,23342844,-
ENSG00000004487,ENST00000356634,KDM1A,chr1,23345441,23345941,23346441,+
ENSG00000169641,ENST00000302291,LUZP1,chr1,23503802,23504302,23504802,-
ENSG00000179546,ENST00000374619,HTR1D,chr1,23520723,23521223,23521723,-
ENSG00000125944,ENST00000374612,HNRNPR,chr1,23670316,23670816,23671316,-
ENSG00000125945,ENST00000314011,ZNF436,chr1,23695436,23695936,23696436,-
ENSG00000204219,ENST00000450454,TCEA3,chr1,23750734,23751234,23751734,-
ENSG00000088280,ENST00000336689,ASAP3,chr1,23810172,23810672,23811172,-
ENSG00000007968,ENST00000361729,E2F2,chr1,23857213,23857713,23858213,-
ENSG00000117318,ENST00000374561,ID3,chr1,23885786,23886286,23886786,-
ENSG00000197880,ENST00000374555,MDS2,chr1,23953324,23953824,23954324,+
ENSG00000142676,ENST00000374550,RPL11,chr1,24017769,24018269,24018769,+
ENSG00000011007,ENST00000609199,TCEB3,chr1,24069462,24069962,24070462,+
ENSG00000057757,ENST00000246151,PITHD1,chr1,24104395,24104895,24105395,+
ENSG00000011009,ENST00000374514,LYPLA2,chr1,24116960,24117460,24117960,+
ENSG00000117308,ENST00000617979,GALE,chr1,24126795,24127295,24127795,-
ENSG00000117305,ENST00000374490,HMGCL,chr1,24151450,24151950,24152450,-
ENSG00000179163,ENST00000374479,FUCA1,chr1,24194285,24194785,24195285,-
ENSG00000188822,ENST00000374472,CNR2,chr1,24239353,24239853,24240353,-
ENSG00000189266,ENST00000334351,PNRC2,chr1,24285802,24286302,24286802,+
ENSG00000188529,ENST00000492112,SRSF10,chr1,24306310,24306810,24307310,-
ENSG00000142661,ENST00000374434,MYOM3,chr1,24438166,24438666,24439166,-
ENSG00000142677,ENST00000270800,IL22RA1,chr1,24469112,24469612,24470112,-
ENSG00000185436,ENST00000327535,IFNLR1,chr1,24513252,24513752,24514252,-
ENSG00000158055,ENST00000361548,GRHL3,chr1,24645312,24645812,24646312,+
ENSG00000001460,ENST00000003583,STPG1,chr1,24739716,24740216,24740716,-
ENSG00000001461,ENST00000374399,NIPAL3,chr1,24741784,24742284,24742784,+
ENSG00000117602,ENST00000374395,RCAN3,chr1,24828887,24829387,24829887,+
ENSG00000184454,ENST00000374392,NCMAP,chr1,24882102,24882602,24883102,+
ENSG00000133226,ENST00000323848,SRRM1,chr1,24969003,24969503,24970003,+
ENSG00000169504,ENST00000374379,CLIC4,chr1,25071348,25071848,25072348,+
